id,MS name,siglum,archive,shelfmark,other names,part
8,Basel,CH-Bst,Staatsarchiv,Fragmente Klosterarchiv St. Clara Q 1,,
21,Saint Gall (Sankt Gallen),CH-SGS,Stiftsbibliothek,MS 392,,
25,Berlin,D-B,Staatsbibliothek zu Berlin - Preußischer Kulturbesitz,MS Lat. 4° 46,,
28,Berlin,D-B,Staatsbibliothek zu Berlin - Preußischer Kulturbesitz,MS Theol. Lat. 4° 100,,
29,Darmstadt,D-DS,Hessische Landes- und Hochschulbibliothek,2276,,
36,Erlangen,D-ERu,Universitätsbibliothek,464,,
39,Karlsruhe,D-KA,Badische Landesbibliothek,Wonnenthal 1,,
42,Munich,D-Mbs,Bayerische Staatsbibliothek,Cgm. 715,,
44,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 14926,,
45,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 15611,,
51,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 5539,,
58,Wolfenbüttel,D-W,Herzog August Bibliothek,Cod. Guelf. 30.9.2.Aug.4o,,
59,Zittau,D-ZIs,Staatsbibliothek,Graduale Ms. A V,,
60,Barcelona,E-Bac,Arxiu de la Corona de Aragón,Ripoll 139,,
61,Barcelona,E-Bbc,Biblioteca Nacional de Catalunya/Biblioteca Central,MS M 251,,
64,Barcelona,E-Boc,Documentation Center of the Orfeo Català  (CEDOC) [formerly: Biblioteca de l'Orfeó Català],MS 2,,
82,Dijon,F-Dm,Bibliothèque Municipale,MS 2837,,
83,Lille,F-Ldn,Archives Départementales du Nord,4 G 1081,,
90,Paris,F-Pn,Bibliothèque Nationale,fonds français 1585,Machaut B,
96,Paris,F-Pn,Bibliothèque Nationale,fonds latin 10581,,
97,Paris,F-Pn,Bibliothèque Nationale,nouvelles acquisitions françaises 10660,,
100,Paris,F-Pn,Bibliothèque Nationale,nouvelles acquisitions françaises 4917,,
106,Paris,F-Pm,Bibliothèque Mazarine,M 438 (210),,
107,Paris,F-Psg,Bibliothèque Ste Genevieve,1257,,
109,Strasbourg,F-Sm,Bibliothèque Municipale,222 C. 22,,
112,Aosta,I-AO,Seminario Maggiore,15,Aosta Manuscript,
116,Bologna,I-Bc,Museo Internazionale e Biblioteca della Musica di Bologna,Q.1,,
117,Bologna,I-Bc,Museo Internazionale e Biblioteca della Musica di Bologna,Q.15,,
119,Bologna,I-Bu,Biblioteca Universitaria,MS 2216,,
122,Cividale del Friuli,I-CFm,Museo Archeologico Nazionale,Cod. CII,,
124,Cividale del Friuli,I-CFm,Museo Archeologico Nazionale,Cod. LVII,,
127,Cividale del Friuli,I-CFm,Museo Archeologico Nazionale,Cod. LXXIX,,
130,Cividale del Friuli,I-CFm,Museo Archeologico Nazionale,Cod. XLVII,,
131,Faenza,I-FZc,Biblioteca Comunale,MS 117,Faenza,
133,Florence (Firenze),I-Fl,Biblioteca Medicea-Laurenziana,MS Ashb. 999,,
134,Foligno,I-FOLc,Archivio di Stato Foligno,s.s.,,
136,Grand-St-Bernard,CH-GSB,Bibliothèque de l'Hospice,19008,,
137,Grottaferrata,I-GR,Biblioteca del Monumento Nazionale,Kript. Lat. 224,,
139,Gubbio,I-GU,"Archivio di Stato, Fondo dell'Ex-Convento di San Domenico Gubbio",Corale O,,
144,Milan,I-Mb,Biblioteca Nazionale Braidense,Braidense AD.XIV.49,,
145,Modena,I-MOe,Biblioteca Estense,MS {alpha}.M.5.24,Modena A; ModA,
146,Modena,I-MOe,Biblioteca Estense,MS {alpha}.X.1.11,Modena B; ModB,
147,"Monte Maria (Malles Venosta-Bolzano, Marienberg)",I-MM,Biblioteca dell'Abbazia,"Inc.XVIII, 2o, 28",,
152,Padua,I-Pu,Biblioteca Universitaria,MS 1106,Pad D,
153,Padua,I-Pu,Biblioteca Universitaria,MS 1115,Pad B,
154,Padua,I-Pu,Biblioteca Universitaria,MS 1225,Pad D,
155,Padua,I-Pu,Biblioteca Universitaria,MS 1283,Pad D,
159,Padua,I-Pu,Biblioteca Universitaria,MS 675,,
161,Parma,I-PAas,Archivio di Stato Parma,"Raccolta Manoscritti, busta 75, n. 26 ex convento LXXXV (S. Servino di Piacenza) reg. n. 52",,
163,Parma,I-PAac,Archivio Capitolare di Parma,MS F-09,,
